Loading repository data...
Reading installed packages...

S  | Name                                       | Type    | Version                                | Arch   | Repository
i  | python311-configobj                        | package | 5.0.8-5.2                              | noarch | Main Repository (OSS)
i  | python311-cryptography                     | package | 43.0.3-3.2                             | x86_64 | Main Repository (OSS)
i  | python311-cssselect                        | package | 1.2.0-2.9                              | noarch | Main Repository (OSS)
i  | python311-curses                           | package | 3.11.10-5.1                            | x86_64 | Main Repository (OSS)
i  | python311-dbm                              | package | 3.11.10-5.1                            | x86_64 | Main Repository (OSS)
i  | python311-dbus-python                      | package | 1.3.2-2.10                             | x86_64 | Main Repository (OSS)
i  | python311-decorator                        | package | 5.1.1-2.9                              | noarch | Main Repository (OSS)
i  | python311-distro                           | package | 1.9.0-2.3                              | noarch | Main Repository (OSS)
i  | python311-docopt                           | package | 0.6.2-9.6                              | noarch | Main Repository (OSS)
i  | python311-gobject                          | package | 3.50.0-2.1                             | x86_64 | Main Repository (OSS)
i  | python311-gobject-cairo                    | package | 3.50.0-2.1                             | x86_64 | Main Repository (OSS)
i  | python311-gobject-Gdk                      | package | 3.50.0-2.1                             | x86_64 | Main Repository (OSS)
i  | python311-gpg                              | package | 1.24.0-2.1                             | x86_64 | Main Repository (OSS)
i  | python311-greenlet                         | package | 3.1.1-1.2                              | x86_64 | Main Repository (OSS)
i  | python311-gssapi                           | package | 1.9.0-1.2                              | x86_64 | Main Repository (OSS)
i  | python311-h2                               | package | 4.1.0-3.8                              | noarch | Main Repository (OSS)
i  | python311-hpack                            | package | 4.0.0-2.8                              | noarch | Main Repository (OSS)
i  | python311-hyperframe                       | package | 6.0.1-2.8                              | noarch | Main Repository (OSS)
i  | python311-idna                             | package | 3.10-1.2                               | noarch | Main Repository (OSS)
i  | python311-importlib-resources              | package | 6.1.1-2.3                              | noarch | Main Repository (OSS)
i  | python311-linux-procfs                     | package | 0.7.3-2.3                              | noarch | Main Repository (OSS)
i  | python311-lxml                             | package | 5.3.0-1.2                              | x86_64 | Main Repository (OSS)
i  | python311-msgpack                          | package | 1.1.0-1.2                              | x86_64 | Main Repository (OSS)
i  | python311-neovim                           | package | 0.5.2-1.1                              | noarch | Main Repository (OSS)
i  | python311-nftables                         | package | 1.1.1-1.2                              | noarch | Main Repository (OSS)
i  | python311-notify2                          | package | 0.3.1-4.19                             | noarch | Main Repository (OSS)
i  | python311-packaging                        | package | 24.2-1.1                               | noarch | Main Repository (OSS)
i  | python311-pip                              | package | 24.3.1-1.2                             | noarch | Main Repository (OSS)
i  | python311-psutil                           | package | 6.1.0-1.1                              | x86_64 | Main Repository (OSS)
i  | python311-pycairo                          | package | 1.26.1-1.2                             | x86_64 | Main Repository (OSS)
i  | python311-pycparser                        | package | 2.22-1.2                               | noarch | Main Repository (OSS)
i  | python311-pycups                           | package | 2.0.4-2.2                              | x86_64 | Main Repository (OSS)
i  | python311-pycurl                           | package | 7.45.3-3.2                             | x86_64 | Main Repository (OSS)
i  | python311-pyOpenSSL                        | package | 24.2.1-1.2                             | noarch | Main Repository (OSS)
i  | python311-pysmbc                           | package | 1.0.25.1-1.4                           | x86_64 | Main Repository (OSS)
i  | python311-PySocks                          | package | 1.7.1-2.9                              | noarch | Main Repository (OSS)
i  | python311-python-dateutil                  | package | 2.9.0.post0-1.3                        | noarch | Main Repository (OSS)
i  | python311-pyudev                           | package | 0.24.3-2.2                             | noarch | Main Repository (OSS)
i  | python311-PyYAML                           | package | 6.0.2-1.2                              | x86_64 | Main Repository (OSS)
i  | python311-requests                         | package | 2.32.3-4.2                             | noarch | Main Repository (OSS)
i  | python311-requests-gssapi                  | package | 1.3.0-1.3                              | noarch | Main Repository (OSS)
i  | python311-rpm                              | package | 4.19.1.1-4.1                           | x86_64 | Main Repository (OSS)
i  | python311-setuptools                       | package | 75.6.0-2.1                             | noarch | Main Repository (OSS)
i  | python311-six                              | package | 1.16.0-4.6                             | noarch | Main Repository (OSS)
i  | python311-speechd                          | package | 0.12.0~rc4-1.1                         | x86_64 | Main Repository (OSS)
i  | python311-systemd                          | package | 235-4.2                                | x86_64 | Main Repository (OSS)
i  | python311-termcolor                        | package | 2.5.0-1.2                              | noarch | Main Repository (OSS)
i  | python311-typing_extensions                | package | 4.12.2-1.2                             | noarch | Main Repository (OSS)
i  | python311-urllib3                          | package | 2.2.3-1.2                              | noarch | Main Repository (OSS)
i  | python311-x86-64-v3                        | package | 3.11.10-5.1                            | x86_64 | Main Repository (OSS)
i  | python311-yt-dlp                           | package | 2024.12.03-1.1                         | noarch | Main Repository (OSS)
i  | python311-zstandard                        | package | 0.22.0-5.2                             | x86_64 | Main Repository (OSS)
i  | python313                                  | package | 3.13.0-5.1                             | x86_64 | Main Repository (OSS)
i  | python313-argcomplete                      | package | 3.5.1-1.2                              | noarch | Main Repository (OSS)
i  | python313-base                             | package | 3.13.0-5.1                             | x86_64 | Main Repository (OSS)
i  | python313-base-x86-64-v3                   | package | 3.13.0-5.1                             | x86_64 | Main Repository (OSS)
i  | python313-click                            | package | 8.1.7-1.6                              | noarch | Main Repository (OSS)
i  | python313-curses                           | package | 3.13.0-5.1                             | x86_64 | Main Repository (OSS)
i  | python313-dbm                              | package | 3.13.0-5.1                             | x86_64 | Main Repository (OSS)
i  | python313-gobject                          | package | 3.50.0-2.1                             | x86_64 | Main Repository (OSS)
i  | python313-gobject-cairo                    | package | 3.50.0-2.1                             | x86_64 | Main Repository (OSS)
i  | python313-packaging                        | package | 24.2-1.1                               | noarch | Main Repository (OSS)
i  | python313-pip                              | package | 24.3.1-1.2                             | noarch | Main Repository (OSS)
i+ | python313-pipx                             | package | 1.7.1-1.2                              | noarch | Main Repository (OSS)
i  | python313-platformdirs                     | package | 4.3.6-1.1                              | noarch | Main Repository (OSS)
i  | python313-pycairo                          | package | 1.26.1-1.2                             | x86_64 | Main Repository (OSS)
i  | python313-userpath                         | package | 1.9.2-1.3                              | noarch | Main Repository (OSS)
i  | python313-x86-64-v3                        | package | 3.13.0-5.1                             | x86_64 | Main Repository (OSS)
i  | qemu                                       | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-accel-tcg-x86                         | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i+ | qemu-arm                                   | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-audio-spice                           | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-block-curl                            | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-block-nfs                             | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-block-rbd                             | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-chardev-spice                         | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-headless                              | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-hw-display-qxl                        | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-hw-display-virtio-gpu                 | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-hw-display-virtio-gpu-pci             | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-hw-display-virtio-vga                 | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-hw-usb-host                           | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-hw-usb-redirect                       | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-hw-usb-smartcard                      | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-img                                   | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-ipxe                                  | package | 9.1.2-1.1                              | noarch | Main Repository (OSS)
i  | qemu-ksm                                   | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-microvm                               | package | 9.1.2-1.1                              | noarch | Main Repository (OSS)
i  | qemu-ovmf-x86_64                           | package | 202408-2.1                             | noarch | Main Repository (OSS)
i  | qemu-pr-helper                             | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-seabios                               | package | 9.1.21.16.3_3_gc13ff2cd-1.1            | noarch | Main Repository (OSS)
i  | qemu-spice                                 | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-tools                                 | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i+ | qemu-uefi-aarch64                          | package | 202408-2.1                             | noarch | Main Repository (OSS)
i  | qemu-ui-curses                             | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-ui-gtk                                | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-ui-opengl                             | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-ui-spice-app                          | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-ui-spice-core                         | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-vgabios                               | package | 9.1.21.16.3_3_gc13ff2cd-1.1            | noarch | Main Repository (OSS)
i  | qemu-vmsr-helper                           | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qemu-x86                                   | package | 9.1.2-1.1                              | x86_64 | Main Repository (OSS)
i  | qml-autoreqprov                            | package | 1.4.1-1.4                              | noarch | Main Repository (OSS)
i  | qt6-base-common-devel                      | package | 6.8.0-2.2                              | x86_64 | Main Repository (OSS)
i  | qt6-declarative-imports                    | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | qt6-declarative-tools                      | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | qt6-imageformats                           | package | 6.8.0-1.1                              | x86_64 | Main Repository (OSS)
i  | qt6-macros                                 | package | 20240131-1.2                           | x86_64 | Main Repository (OSS)
i  | qt6-network-tls                            | package | 6.8.0-2.2                              | x86_64 | Main Repository (OSS)
i  | qt6-networkinformation-glib                | package | 6.8.0-2.2                              | x86_64 | Main Repository (OSS)
i  | qt6-networkinformation-nm                  | package | 6.8.0-2.2                              | x86_64 | Main Repository (OSS)
i  | qt6-platformtheme-gtk3                     | package | 6.8.0-2.2                              | x86_64 | Main Repository (OSS)
i  | qt6-translations                           | package | 6.8.0-1.1                              | noarch | Main Repository (OSS)
i  | qt6-wayland                                | package | 6.8.0-3.1                              | x86_64 | Main Repository (OSS)
i  | qtdeclarative-imports-provides-qt5         | package | 1.0-1.29                               | x86_64 | Main Repository (OSS)
i+ | quickemu                                   | package | 4.9.6-5.3                              | noarch | home:guinuxbr
i  | quilt                                      | package | 0.68-1.1                               | noarch | Main Repository (OSS)
i  | rdma-core                                  | package | 54.0-1.1                               | x86_64 | Main Repository (OSS)
i  | rdma-ndd                                   | package | 54.0-1.1                               | x86_64 | Main Repository (OSS)
i  | readline-doc                               | package | 8.2.13-2.1                             | noarch | Main Repository (OSS)
i+ | ripgrep                                    | package | 14.1.1-1.1                             | x86_64 | Main Repository (OSS)
i  | ripgrep-bash-completion                    | package | 14.1.1-1.1                             | noarch | Main Repository (OSS)
i  | ripgrep-fish-completion                    | package | 14.1.1-1.1                             | noarch | Main Repository (OSS)
i+ | rofi                                       | package | 1.7.5-3.2                              | x86_64 | Main Repository (OSS)
i+ | rofi-bluetooth                             | package | 0~git20230203.9d91c04-1.3              | noarch | Main Repository (OSS)
i  | rpcbind                                    | package | 1.2.7-1.1                              | x86_64 | Main Repository (OSS)
i+ | rpi-imager                                 | package | 1.9.0-1.1                              | x86_64 | Main Repository (OSS)
i+ | rpm                                        | package | 4.19.1.1-4.1                           | x86_64 | Main Repository (OSS)
i  | rpm-build                                  | package | 4.19.1.1-4.1                           | x86_64 | Main Repository (OSS)
i  | rpm-build-perl                             | package | 4.19.1.1-4.1                           | x86_64 | Main Repository (OSS)
i  | rpm-config-SUSE                            | package | 20241031-1.1                           | noarch | Main Repository (OSS)
i  | rsync                                      | package | 3.3.0-4.1                              | x86_64 | Main Repository (OSS)
i  | rtkit                                      | package | 0.13-6.2                               | x86_64 | Main Repository (OSS)
i  | ruby                                       | package | 3.3-1.5                                | x86_64 | Main Repository (OSS)
i  | ruby-common                                | package | 3.2.1-6.1                              | noarch | Main Repository (OSS)
i  | ruby-solv                                  | package | 0.7.31-1.2                             | x86_64 | Main Repository (OSS)
i  | ruby3.3                                    | package | 3.3.6-1.1                              | x86_64 | Main Repository (OSS)
i  | ruby3.3-rubygem-abstract_method            | package | 1.2.1-2.35                             | x86_64 | Main Repository (OSS)
i  | ruby3.3-rubygem-cfa                        | package | 1.0.2-1.22                             | x86_64 | Main Repository (OSS)
i  | ruby3.3-rubygem-cfa_grub2                  | package | 2.0.0-1.22                             | x86_64 | Main Repository (OSS)
i  | ruby3.3-rubygem-cheetah                    | package | 1.0.0-1.14                             | x86_64 | Main Repository (OSS)
i  | ruby3.3-rubygem-fast_gettext               | package | 2.3.0-1.5                              | x86_64 | Main Repository (OSS)
i  | ruby3.3-rubygem-gem2rpm                    | package | 0.10.1-24.1                            | x86_64 | Main Repository (OSS)
i  | ruby3.3-rubygem-nokogiri                   | package | 1.16.7-1.2                             | x86_64 | Main Repository (OSS)
i  | ruby3.3-rubygem-ruby-augeas                | package | 0.6.0-1.1                              | x86_64 | Main Repository (OSS)
i  | ruby3.3-rubygem-ruby-dbus                  | package | 0.23.1-2.4                             | x86_64 | Main Repository (OSS)
i  | ruby3.3-rubygem-simpleidn                  | package | 0.2.3-1.1                              | x86_64 | Main Repository (OSS)
i+ | rustup                                     | package | 1.27.1~0-1.2                           | x86_64 | Main Repository (OSS)
i  | samba                                      | package | 4.21.1+git.372.cb50f2d0a68-1.1         | x86_64 | Main Repository (OSS)
i  | samba-ad-dc-libs                           | package | 4.21.1+git.372.cb50f2d0a68-1.1         | x86_64 | Main Repository (OSS)
i  | samba-client                               | package | 4.21.1+git.372.cb50f2d0a68-1.1         | x86_64 | Main Repository (OSS)
i  | samba-client-32bit                         | package | 4.21.1+git.372.cb50f2d0a68-1.1         | x86_64 | Main Repository (OSS)
i  | samba-client-libs                          | package | 4.21.1+git.372.cb50f2d0a68-1.1         | x86_64 | Main Repository (OSS)
i  | samba-client-libs-32bit                    | package | 4.21.1+git.372.cb50f2d0a68-1.1         | x86_64 | Main Repository (OSS)
i  | samba-dcerpc                               | package | 4.21.1+git.372.cb50f2d0a68-1.1         | x86_64 | Main Repository (OSS)
i  | samba-gpupdate                             | package | 4.21.1+git.372.cb50f2d0a68-1.1         | x86_64 | Main Repository (OSS)
i  | samba-ldb-ldap                             | package | 4.21.1+git.372.cb50f2d0a68-1.1         | x86_64 | Main Repository (OSS)
i  | samba-libs                                 | package | 4.21.1+git.372.cb50f2d0a68-1.1         | x86_64 | Main Repository (OSS)
i  | samba-libs-python3                         | package | 4.21.1+git.372.cb50f2d0a68-1.1         | x86_64 | Main Repository (OSS)
i  | samba-python3                              | package | 4.21.1+git.372.cb50f2d0a68-1.1         | x86_64 | Main Repository (OSS)
i  | samba-winbind                              | package | 4.21.1+git.372.cb50f2d0a68-1.1         | x86_64 | Main Repository (OSS)
i  | samba-winbind-libs                         | package | 4.21.1+git.372.cb50f2d0a68-1.1         | x86_64 | Main Repository (OSS)
i  | samba-winbind-libs-32bit                   | package | 4.21.1+git.372.cb50f2d0a68-1.1         | x86_64 | Main Repository (OSS)
i  | sane-backends                              | package | 1.3.1-2.2                              | x86_64 | Main Repository (OSS)
i  | sane-backends-autoconfig                   | package | 1.3.1-2.2                              | noarch | Main Repository (OSS)
i  | sbc                                        | package | 1.5-3.1                                | x86_64 | Main Repository (OSS)
i+ | sbcl                                       | package | 2.4.11-1.1                             | x86_64 | Main Repository (OSS)
i  | screen                                     | package | 4.9.1-2.2                              | x86_64 | Main Repository (OSS)
i+ | sddm                                       | package | 0.21.0-4.1                             | x86_64 | Main Repository (OSS)
i  | sddm-greeter-qt5                           | package | 0.21.0-4.1                             | x86_64 | Main Repository (OSS)
i  | seahorse                                   | package | 47.0.1+6-1.1                           | x86_64 | Main Repository (OSS)
i  | seahorse-daemon                            | package | 3.12.2-11.1                            | x86_64 | Main Repository (OSS)
i+ | seatd                                      | package | 0.9.1-1.1                              | x86_64 | Main Repository (OSS)
i  | sed                                        | package | 4.9-2.6                                | x86_64 | Main Repository (OSS)
i  | sensors                                    | package | 3.6.2-3.2                              | x86_64 | Main Repository (OSS)
i  | sessreg                                    | package | 1.1.3-1.6                              | x86_64 | Main Repository (OSS)
i  | setserial                                  | package | 2.17-745.1                             | x86_64 | Main Repository (OSS)
i  | setxkbmap                                  | package | 1.3.4-1.5                              | x86_64 | Main Repository (OSS)
i  | sg3_utils                                  | package | 1.48+9.ecc03bb-1.1                     | x86_64 | Main Repository (OSS)
i  | sgml-skel                                  | package | 0.7.2-1.7                              | noarch | Main Repository (OSS)
i  | shadow                                     | package | 4.16.0-3.1                             | x86_64 | Main Repository (OSS)
i  | shared-mime-info                           | package | 2.4-3.1                                | x86_64 | Main Repository (OSS)
i  | shared-python-startup                      | package | 0.1-6.13                               | noarch | Main Repository (OSS)
i  | sharutils                                  | package | 4.15.2-9.1                             | x86_64 | Main Repository (OSS)
i+ | shim                                       | package | 15.8-3.1                               | x86_64 | Main Repository (OSS)
i  | site-config                                | package | 0.2-14.6                               | x86_64 | Main Repository (OSS)
i+ | slack                                      | package | 4.41.98-0.1.el8                        | x86_64 | slack
i  | slurp                                      | package | 1.5.0-1.3                              | x86_64 | Main Repository (OSS)
i+ | smalltalk                                  | package | 3.2.5-2.416                            | x86_64 | devel:languages:smalltalk
i  | smartmontools                              | package | 7.4-2.3                                | x86_64 | Main Repository (OSS)
i  | smp_utils                                  | package | 0.99-2.16                              | x86_64 | Main Repository (OSS)
i+ | snapd                                      | package | 2.66.1-1.8                             | x86_64 | system:snappy
i+ | snapper                                    | package | 0.12.0-1.1                             | x86_64 | Main Repository (OSS)
i  | snapper-zypp-plugin                        | package | 0.12.0-1.1                             | x86_64 | Main Repository (OSS)
i  | snmp-mibs                                  | package | 5.9.4-3.1                              | x86_64 | Main Repository (OSS)
i  | socat                                      | package | 1.8.0.0-2.1                            | x86_64 | Main Repository (OSS)
i  | sof-firmware                               | package | 2024.09.1-1.1                          | noarch | Main Repository (OSS)
i  | sound-theme-freedesktop                    | package | 0.8-9.16                               | noarch | Main Repository (OSS)
i  | sparse                                     | package | 0.6.4+20240203-1.2                     | x86_64 | Main Repository (OSS)
i  | spax                                       | package | 1.6.1-51.1                             | x86_64 | Main Repository (OSS)
i  | speech-dispatcher                          | package | 0.12.0~rc4-1.1                         | x86_64 | Main Repository (OSS)
i  | speech-dispatcher-module-espeak            | package | 0.12.0~rc4-1.1                         | x86_64 | Main Repository (OSS)
i  | spice-gtk                                  | package | 0.42-4.3                               | x86_64 | Main Repository (OSS)
i  | sqlite3                                    | package | 3.47.1-1.1                             | x86_64 | Main Repository (OSS)
i  | sqlite3-tcl                                | package | 3.47.1-1.1                             | x86_64 | Main Repository (OSS)
i  | squashfs                                   | package | 4.6.1-2.4                              | x86_64 | Main Repository (OSS)
i  | sscep                                      | package | 0.10.0-1.12                            | x86_64 | Main Repository (OSS)
i  | star                                       | package | 1.6.1-51.1                             | x86_64 | Main Repository (OSS)
i+ | starship                                   | package | 1.21.1-1.1                             | x86_64 | Main Repository (OSS)
i+ | steam                                      | package | 1.0.0.81-1.3                           | x86_64 | Main Repository (NON-OSS)
i  | steam-devices                              | package | 20230412+git.1344348-1.2               | x86_64 | Main Repository (OSS)
i  | stix-fonts                                 | package | 1.1.0-12.28                            | noarch | Main Repository (OSS)
i+ | stow                                       | package | 2.4.1-1.1                              | noarch | Main Repository (OSS)
i  | strace                                     | package | 6.12-1.1                               | x86_64 | Main Repository (OSS)
i  | subversion                                 | package | 1.14.4-2.1                             | x86_64 | Main Repository (OSS)
i  | subversion-bash-completion                 | package | 1.14.4-2.1                             | noarch | Main Repository (OSS)
i  | subversion-perl                            | package | 1.14.4-2.1                             | x86_64 | Main Repository (OSS)
i  | sudo                                       | package | 1.9.15p5-2.1                           | x86_64 | Main Repository (OSS)
i  | sudo-plugin-python                         | package | 1.9.15p5-2.1                           | x86_64 | Main Repository (OSS)
i  | suse-module-tools                          | package | 16.0.53-1.1                            | x86_64 | Main Repository (OSS)
i  | suse-module-tools-scriptlets               | package | 16.0.53-1.1                            | x86_64 | Main Repository (OSS)
i  | sushi                                      | package | 46.0-1.1                               | x86_64 | Main Repository (OSS)
i  | SwayNotificationCenter                     | package | 0.10.1-1.1                             | x86_64 | Main Repository (OSS)
i  | SwayNotificationCenter-bash-completion     | package | 0.10.1-1.1                             | noarch | Main Repository (OSS)
i  | SwayNotificationCenter-fish-completion     | package | 0.10.1-1.1                             | noarch | Main Repository (OSS)
i  | swig                                       | package | 4.3.0-1.1                              | x86_64 | Main Repository (OSS)
i  | swtpm                                      | package | 0.9.0-2.2                              | x86_64 | Main Repository (OSS)
i+ | swww                                       | package | 0.9.5-2.1                              | x86_64 | Main Repository (OSS)
i  | swww-bash-completion                       | package | 0.9.5-2.1                              | noarch | Main Repository (OSS)
i  | swww-fish-completion                       | package | 0.9.5-2.1                              | noarch | Main Repository (OSS)
i  | sysconfig                                  | package | 0.90.0-3.6                             | x86_64 | Main Repository (OSS)
i  | syslinux                                   | package | 4.04-50.1                              | x86_64 | Main Repository (OSS)
i  | system-config-printer                      | package | 1.5.18-8.1                             | x86_64 | Main Repository (OSS)
i  | system-config-printer-applet               | package | 1.5.18-8.1                             | noarch | Main Repository (OSS)
i  | system-config-printer-common               | package | 1.5.18-8.1                             | noarch | Main Repository (OSS)
i  | system-config-printer-dbus-service         | package | 1.5.18-8.1                             | noarch | Main Repository (OSS)
i  | system-group-audit                         | package | 4.0-3.1                                | noarch | Main Repository (OSS)
i  | system-group-hardware                      | package | 20170617-26.1                          | noarch | Main Repository (OSS)
i  | system-group-kvm                           | package | 20170617-26.1                          | noarch | Main Repository (OSS)
i  | system-group-wheel                         | package | 20170617-26.1                          | noarch | Main Repository (OSS)
i  | system-user-bin                            | package | 20170617-26.1                          | noarch | Main Repository (OSS)
i  | system-user-brltty                         | package | 6.7-1.2                                | noarch | Main Repository (OSS)
i  | system-user-daemon                         | package | 20170617-26.1                          | noarch | Main Repository (OSS)
i  | system-user-flatpak                        | package | 1.15.12-1.1                            | noarch | Main Repository (OSS)
i  | system-user-lp                             | package | 20170617-26.1                          | noarch | Main Repository (OSS)
i  | system-user-mail                           | package | 20170617-26.1                          | noarch | Main Repository (OSS)
i  | system-user-man                            | package | 20170617-26.1                          | noarch | Main Repository (OSS)
i  | system-user-nobody                         | package | 20170617-26.1                          | noarch | Main Repository (OSS)
i  | system-user-pulse                          | package | 17.0-4.4                               | noarch | Main Repository (OSS)
i  | system-user-qemu                           | package | 20170617-26.1                          | noarch | Main Repository (OSS)
i  | system-user-root                           | package | 20190513-2.16                          | noarch | Main Repository (OSS)
i  | system-user-srvGeoClue                     | package | 2.7.1-2.1                              | noarch | Main Repository (OSS)
i  | system-user-tftp                           | package | 20170617-26.1                          | noarch | Main Repository (OSS)
i  | system-user-tss                            | package | 20170617-26.1                          | noarch | Main Repository (OSS)
i  | systemd                                    | package | 256.9-1.1                              | x86_64 | Main Repository (OSS)
i  | systemd-32bit                              | package | 256.9-1.1                              | x86_64 | Main Repository (OSS)
i  | systemd-default-settings                   | package | 0.10-1.1                               | noarch | Main Repository (OSS)
i  | systemd-default-settings-branding-openSUSE | package | 0.10-1.1                               | noarch | Main Repository (OSS)
i+ | systemd-devel                              | package | 256.9-1.1                              | x86_64 | Main Repository (OSS)
i  | systemd-presets-branding-openSUSE          | package | 12.2-24.1                              | noarch | Main Repository (OSS)
i  | systemd-presets-common-SUSE                | package | 15-35.1                                | noarch | Main Repository (OSS)
i  | systemd-rpm-macros                         | package | 24-1.6                                 | noarch | Main Repository (OSS)
i  | sysuser-shadow                             | package | 3.3-6.1                                | noarch | Main Repository (OSS)
i  | sysvinit-tools                             | package | 3.11-1.1                               | x86_64 | Main Repository (OSS)
i  | tack                                       | package | 1.10.20240501-50.1                     | x86_64 | Main Repository (OSS)
i  | tar                                        | package | 1.35-3.1                               | x86_64 | Main Repository (OSS)
i  | tar-rmt                                    | package | 1.35-3.1                               | x86_64 | Main Repository (OSS)
i  | tcl                                        | package | 8.6.15-1.1                             | x86_64 | Main Repository (OSS)
i+ | tealdeer                                   | package | 1.7.0-43.3                             | x86_64 | utilities
i  | tealdeer-bash-completion                   | package | 1.7.0-43.3                             | noarch | utilities
i  | tealdeer-fish-completion                   | package | 1.7.0-43.3                             | noarch | utilities
i  | tecla-keyboard-layout-viewer               | package | 47.0-2.1                               | x86_64 | Main Repository (OSS)
i  | terminfo                                   | package | 6.5.20241123-50.1                      | x86_64 | Main Repository (OSS)
i  | terminfo-base                              | package | 6.5.20241123-50.1                      | x86_64 | Main Repository (OSS)
i  | terminfo-iterm                             | package | 6.5.20241123-50.1                      | x86_64 | Main Repository (OSS)
i  | terminfo-screen                            | package | 6.5.20241123-50.1                      | x86_64 | Main Repository (OSS)
i  | thin-provisioning-tools                    | package | 1.0.13-1.1                             | x86_64 | Main Repository (OSS)
i  | thunar                                     | package | 4.18.11-1.1                            | x86_64 | Main Repository (OSS)
i  | thunar-volman                              | package | 4.18.0-1.7                             | x86_64 | Main Repository (OSS)
i  | time                                       | package | 1.9-4.1                                | x86_64 | Main Repository (OSS)
i  | timezone                                   | package | 2024b-1.1                              | x86_64 | Main Repository (OSS)
i  | tinysparql                                 | package | 3.8.1-1.1                              | x86_64 | Main Repository (OSS)
i  | tnftp                                      | package | 20230507-1.5                           | x86_64 | Main Repository (OSS)
i+ | tofi                                       | package | 0.9.1-2.1                              | x86_64 | Main Repository (OSS)
i  | tofi-bash-completion                       | package | 0.9.1-2.1                              | noarch | Main Repository (OSS)
i  | totem                                      | package | 43.1-1.1                               | x86_64 | Main Repository (OSS)
i  | totem-pl-parser                            | package | 3.26.6+30-1.1                          | x86_64 | Main Repository (OSS)
i  | totem-video-thumbnailer                    | package | 43.1-1.1                               | x86_64 | Main Repository (OSS)
i  | traceroute                                 | package | 2.1.5-1.3                              | x86_64 | Main Repository (OSS)
i+ | tree                                       | package | 2.2.1-1.1                              | x86_64 | Main Repository (OSS)
i  | tree-sitter-c                              | package | 0.21.4-1.1                             | x86_64 | Main Repository (OSS)
i  | tree-sitter-lua                            | package | 0.2.0-2.1                              | x86_64 | Main Repository (OSS)
i  | tree-sitter-markdown                       | package | 0.3.2-2.1                              | x86_64 | Main Repository (OSS)
i  | tree-sitter-python                         | package | 0.21.0-1.1                             | x86_64 | Main Repository (OSS)
i  | tree-sitter-query                          | package | 0.4.0-3.1                              | x86_64 | Main Repository (OSS)
i  | tree-sitter-vim                            | package | 0.4.0-2.1                              | x86_64 | Main Repository (OSS)
i  | tree-sitter-vimdoc                         | package | 3.0.0-2.1                              | x86_64 | Main Repository (OSS)
i  | tuned                                      | package | 2.22.1.2+git.86ac977-3.1               | noarch | Main Repository (OSS)
i  | typelib-1_0-AccountsService-1_0            | package | 23.13.9-10.1                           | x86_64 | Main Repository (OSS)
i  | typelib-1_0-Adw-1                          | package | 1.6.2-1.1                              | x86_64 | Main Repository (OSS)
i  | typelib-1_0-Amtk-5                         | package | 5.9.0-1.1                              | x86_64 | Main Repository (OSS)
i  | typelib-1_0-AppIndicator3-0_1              | package | 12.10.1~bzr20200706.298-4.1            | x86_64 | Main Repository (OSS)
i  | typelib-1_0-Atk-1_0                        | package | 2.54.0-1.1                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-Atspi-2_0                      | package | 2.54.0-1.1                             | x86_64 | Main Repository (OSS)
i  | typelib-1_0-AyatanaAppIndicator3-0_1       | package | 0.5.93-1.2                             | x86_64 | Main Repository (OSS)
