Loading repository data...
Reading installed packages...

S  | Name                                       | Type    | Version                                | Arch   | Repository
i  | fonts-config                               | package | 20231210+git0.f7216ba-1.3              | noarch | Main Repository (OSS)
i  | freeglut-devel                             | package | 3.2.2-1.14                             | x86_64 | Main Repository (OSS)
i  | freetype2-devel                            | package | 2.13.2-2.2                             | x86_64 | Main Repository (OSS)
i  | fribidi-devel                              | package | 1.0.15-1.1                             | x86_64 | Main Repository (OSS)
i  | fuse                                       | package | 2.9.9-6.7                              | x86_64 | Main Repository (OSS)
i  | fuse3                                      | package | 3.16.2-1.3                             | x86_64 | Main Repository (OSS)
i  | fwupd                                      | package | 1.9.25-2.1                             | x86_64 | Main Repository (OSS)
i  | fwupd-bash-completion                      | package | 1.9.25-2.1                             | noarch | Main Repository (OSS)
i  | fwupd-efi                                  | package | 1.3-1.8                                | x86_64 | Main Repository (OSS)
i  | fwupd-fish-completion                      | package | 1.9.25-2.1                             | noarch | Main Repository (OSS)
i+ | fzf                                        | package | 0.56.3-1.1                             | x86_64 | Main Repository (OSS)
i+ | gamemode                                   | package | 1.8.2-1.1                              | x86_64 | Main Repository (OSS)
i  | gamemoded                                  | package | 1.8.2-1.1                              | x86_64 | Main Repository (OSS)
i+ | gammastep                                  | package | 2.0.9-2.3                              | x86_64 | Main Repository (OSS)
i  | gawk                                       | package | 5.3.1-1.1                              | x86_64 | Main Repository (OSS)
i  | gcab                                       | package | 1.6-1.4                                | x86_64 | Main Repository (OSS)
i  | gcc                                        | package | 14-2.1                                 | x86_64 | Main Repository (OSS)
i  | gcc-c++                                    | package | 14-2.1                                 | x86_64 | Main Repository (OSS)
i  | gcc-info                                   | package | 14-2.1                                 | x86_64 | Main Repository (OSS)
i  | gcc14                                      | package | 14.2.1+git10750-1.1                    | x86_64 | Main Repository (OSS)
i  | gcc14-c++                                  | package | 14.2.1+git10750-1.1                    | x86_64 | Main Repository (OSS)
i  | gcc14-info                                 | package | 14.2.1+git10750-1.1                    | noarch | Main Repository (OSS)
i  | gcr-ssh-agent                              | package | 4.3.0-2.1                              | x86_64 | Main Repository (OSS)
i  | gcr-ssh-askpass                            | package | 4.3.0-2.1                              | x86_64 | Main Repository (OSS)
i  | gcr-viewer                                 | package | 4.3.0-2.1                              | x86_64 | Main Repository (OSS)
i  | gcr3-data                                  | package | 3.41.2-2.1                             | x86_64 | Main Repository (OSS)
i  | gcr3-prompter                              | package | 3.41.2-2.1                             | x86_64 | Main Repository (OSS)
i  | gcr3-ssh-askpass                           | package | 3.41.2-2.1                             | x86_64 | Main Repository (OSS)
i  | gdbm-devel                                 | package | 1.24-1.1                               | x86_64 | Main Repository (OSS)
i  | gdk-pixbuf-devel                           | package | 2.42.12-2.1                            | x86_64 | Main Repository (OSS)
i  | gdk-pixbuf-loader-jxl                      | package | 0.11.1-1.1                             | x86_64 | Main Repository (OSS)
i  | gdk-pixbuf-loader-rsvg                     | package | 2.59.2-2.1                             | x86_64 | Main Repository (OSS)
i  | gdk-pixbuf-query-loaders                   | package | 2.42.12-2.1                            | x86_64 | Main Repository (OSS)
i  | gdk-pixbuf-query-loaders-32bit             | package | 2.42.12-2.1                            | x86_64 | Main Repository (OSS)
i  | gdk-pixbuf-thumbnailer                     | package | 2.42.12-2.1                            | x86_64 | Main Repository (OSS)
i  | gdm                                        | package | 47.0-1.1                               | x86_64 | Main Repository (OSS)
i  | gdm-branding-openSUSE                      | package | 15.1-3.3                               | noarch | Main Repository (OSS)
i  | gdm-schema                                 | package | 47.0-1.1                               | noarch | Main Repository (OSS)
i+ | gdm-systemd                                | package | 47.0-1.1                               | noarch | Main Repository (OSS)
i  | gdm-xdm-integration                        | package | 47.0-1.1                               | x86_64 | Main Repository (OSS)
i  | gdmflexiserver                             | package | 47.0-1.1                               | noarch | Main Repository (OSS)
i+ | gdu                                        | package | 5.28.0-1.1                             | x86_64 | Main Repository (OSS)
i+ | gedit                                      | package | 48.0-1.1                               | x86_64 | Main Repository (OSS)
i  | geoclue2                                   | package | 2.7.1-2.1                              | x86_64 | Main Repository (OSS)
i  | geocode-glib                               | package | 3.26.4-1.7                             | x86_64 | Main Repository (OSS)
i  | gettext-its-gtk4                           | package | 4.16.7-1.1                             | x86_64 | Main Repository (OSS)
i  | gettext-runtime                            | package | 0.22.5-7.1                             | x86_64 | Main Repository (OSS)
i  | gettext-tools                              | package | 0.22.5-7.1                             | x86_64 | Main Repository (OSS)
i+ | gforth                                     | package | 0.7.3-12.1085                          | x86_64 | devel:languages:misc
i+ | gh                                         | package | 2.63.0-1.1                             | x86_64 | Main Repository (OSS)
i  | gh-bash-completion                         | package | 2.63.0-1.1                             | noarch | Main Repository (OSS)
i  | gh-fish-completion                         | package | 2.63.0-1.1                             | noarch | Main Repository (OSS)
i  | ghc-aeson                                  | package | 2.2.3.0-3.2                            | x86_64 | Main Repository (OSS)
i  | ghc-aeson-pretty                           | package | 0.8.10-1.32                            | x86_64 | Main Repository (OSS)
i  | ghc-ansi-terminal                          | package | 1.0.2-1.7                              | x86_64 | Main Repository (OSS)
i  | ghc-ansi-terminal-types                    | package | 0.11.5-1.10                            | x86_64 | Main Repository (OSS)
i  | ghc-appar                                  | package | 0.1.8-4.10                             | x86_64 | Main Repository (OSS)
i  | ghc-array                                  | package | 0.5.8.0-1.1                            | x86_64 | Main Repository (OSS)
i  | ghc-asn1-encoding                          | package | 0.9.6-8.18                             | x86_64 | Main Repository (OSS)
i  | ghc-asn1-parse                             | package | 0.9.5-6.11                             | x86_64 | Main Repository (OSS)
i  | ghc-asn1-types                             | package | 0.3.4-5.18                             | x86_64 | Main Repository (OSS)
i  | ghc-assoc                                  | package | 1.1.1-1.3                              | x86_64 | Main Repository (OSS)
i  | ghc-async                                  | package | 2.2.5-3.2                              | x86_64 | Main Repository (OSS)
i  | ghc-attoparsec                             | package | 0.14.4-5.14                            | x86_64 | Main Repository (OSS)
i  | ghc-base                                   | package | 4.19.2.0-1.1                           | x86_64 | Main Repository (OSS)
i  | ghc-base-compat                            | package | 0.13.1-1.8                             | x86_64 | Main Repository (OSS)
i  | ghc-base-orphans                           | package | 0.9.2-1.3                              | x86_64 | Main Repository (OSS)
